land_use,management,weight,rules_static,rules_dynamic,operation,mgt1,mgt2,mgt3,mgt4,mgt5,mgt6,mgt7,mgt8,mgt9
SOYB,,,,"(md > 0720) * (md < 0815) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op)) *  w_log(hu_fr, 0.90, 1) * (1 - w_log(hu_fr, 1.1, 1.3))",harvest_kill,,,,68,,,,,
SOYB,conv,0.46,,"(md > 0901) * (md < 1020) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,Fallplow,,,85,,,,,
SOYB,cons,0.54,,"(md > 0901) * (md < 1020) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,Constill,,,80,,,,,
FESC,,,,,initial_crop,FESC,3,500,1585,,,,,
FESC,,,,"(md > 0320) * (md < 0325) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 360)",fertilizer,minN,,,1,0,,,,
FESC,,,,"(md > 0405) * (md < 0415) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,orgN,,,1,0,,,,
FESE,,,,,initial_crop,FESE,3,500,1585,,,,,
FESE,,,,"(md > 0320) * (md < 0325) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 320)",fertilizer,minN,,,0.5,0,,,,
FESE,,,,,fertilizer,orgN,,,0.5,0,,,,
FESE,,,,,fertilizer,Elem-P,,,6.7,0,,,,
FESE,,,,"(md > 0610) * (md < 0620) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",harvest_only,,,,0,0.9,,,,
FESE,,,,"(md > 0615) * (md < 0630) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,0.5,0,,,,
FESE,,,,,fertilizer,orgN,,,0.5,0,,,,
FESE,,,,,fertilizer,Elem-P,,,6.7,0,,,,
FESE,,,,"(md > 0910) * (md < 0920) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",harvest_only,,,,0,0.9,,,,
FESI,,,,,initial_crop,FESI,3,500,1585,,,,,
FESI,,,,"(md > 0320) * (md < 0325) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 320)",fertilizer,minN,,,0.25,0,,,,
FESI,,,,,fertilizer,orgN,,,0.25,0,,,,
FESI,,,,,fertilizer,Elem-P,,,7,0,,,,
